"codigo";"Marca";"descripcion";"cantidad";"precio"
"114";"(Ref: 313336)";"Bodega Uno";"Vino Gran Cosecha Cabernet Sauvignon Botella";"700 cc";"$1.090"
"115";"(Ref: 279680)";"Carmen";"Vino Clásico MGX Cabernet Sauvignon Botella";"375 cc";"$1.250"
"116";"(Ref: 671998)";"Cygan";"Sidra de Manzana";"275 cc";"$1.290"
"117";"(Ref: 274552)";"Aromo";"Vino Tinto Caja";"1 L";"$1.350"
"118";"(Ref: 277103)";"Aromo";"Vino Blanco Caja";"1 L";"$1.350"
"119";"(Ref: 293419)";"Santa Rita";"Vino Cabernet Sauvignon 120 Una Medalla";"700 cc";"$1.390"
"120";"(Ref: 293445)";"2 Medallas";"Vino Cabernet Sauvignon 120 Botella";"700 cc";"$1.490"
"121";"(Ref: 313051)";"Bodega Uno";"Vino Tinto Caja";"1 L";"$1.490"
"122";"(Ref: 312236)";"Bodega Uno";"Vino Blanco Caja";"1 L";"$1.490"
"123";"(Ref: 367635)";"Santa Carolina";"Vino Cabernet Sauvignon Una Estrella Botella";"700 cc";"$1.490"
"124";"(Ref: 264561)";"Santa Helena";"Vino Tinto de Mesa Caja";"1 L";"$1.490"
"125";"(Ref: 243086)";"San Pedro";"Exportación Botella";"700 cc";"$1.490"
"126";"(Ref: 257669)";"Santa Carolina";"Vino Merlot Tres Estrellas Botella";"750 cc";"$1.590"
"127";"(Ref: 255802)";"Santa Carolina";"Vino Chardonnay Tres Estrellas Botella";"750 cc";"$1.590"
"128";"(Ref: 293594)";"Santa Rita";"Vino Gran 120 Cabernet Sauvignon Botella";"700 cc";"$1.590"
"129";"(Ref: 293493)";"Santa Rita";"Gran 120 Botella";"700 cc";"$1.590"
"130";"(Ref: 257647)";"Santa Carolina";"Vino Sauvignon Blanc Tres Estrellas Botella";"750 cc";"$1.590"
"131";"(Ref: 543469)";"Misiones de Rengo";"Vino Cabernet Sauvignon Botella";"375 cc";"$1.650"
"132";"(Ref: 363754)";"San Pedro";"Vino Blanco Gato Caja";"1 L";"$1.690"
"133";"(Ref: 264703)";"San Pedro";"Vino Tinto Cabernet Sauvignon Gato Caja";"1 L";"$1.690"
"134";"(Ref: 350948)";"San Pedro";"Vino Blanco Gato Botella";"700 cc";"$1.690"
"135";"(Ref: 285722)";"Gato";"Vino Merlot";"700 cc";"$1.690"
"136";"(Ref: 253609)";"San Pedro";"Vino Tinto Gato Cabernet Sauvignon Botella";"700 cc";"$1.690"
"137";"(Ref: 243005)";"Santa Helena";"Vino Blanco Caja";"1000 cc";"$1.690"
"138";"(Ref: 632216)";"Amor";"Vino Tinto Sangria 8° Lata";"250 ml";"$1.690"
"139";"(Ref: 499596)";"Gato";"Vino Carmenere San Pedro Botella";"700 ml";"$1.690"
"140";"(Ref: 264539)";"Santa Carolina";"Vino Carmenere Tres Estrellas Botella";"750 cc";"$1.890"
"141";"(Ref: 247267)";"Manquehuito";"Vino Gasificado Pop Wine Frutos Rojos Botella";"800 cc";"$1.890"
"142";"(Ref: 254325)";"San Pedro";"Vino Cabernet Sauvignon Urmeneta Botella";"700 cc";"$1.890"
"143";"(Ref: 312717)";"Santa Rita";"Vino Blanco 120 Caja";"1000 cc";"$1.890"
"144";"(Ref: 312827)";"Santa Rita";"Vino Cabernet Sauvignon 120 Caja";"1 L";"$1.890"
"145";"(Ref: 254370)";"San Pedro";"Urmeneta Carmenère Botella";"700 cc";"$1.890"
"146";"(Ref: 262733)";"Clos de Pirque";"Vino Cabernet Sauvignon Caja";"1 L";"$1.890"
"147";"(Ref: 257819)";"Clos de Pirque";"Vino Blanco Caja";"1 L";"$1.890"
"148";"(Ref: 512105)";"Manquehuito";"Vino Gasificado Pop Wine Guaranup Botella";"Botella 800 cc";"$1.890"
"149";"(Ref: 261061)";"Manquehuito";"Vino Gasificado Pop Wine Piña Botella";"800 cc";"$1.890"
"150";"(Ref: 262347)";"Santa Carolina";"Vino Cabernet Sauvignon Tres Estrellas";"750 cc";"$1.890"
"151";"(Ref: 279696)";"Terra Andina";"Vino Grande Vidure Clásico";"750 cc";"$1.990"
"152";"(Ref: 277105)";"Aromo";"Vino Tinto Mega 1,5 L Botella";"1,5 L";"$1.990"
"153";"(Ref: 597451)";"Carmen";"Vino Carmenere Insigne Botella";"750 cc";"$1.990"
"154";"(Ref: 310479)";"Terra Andina";"Vino Cabernet Sauvignon Clásico";"750 cc";"$1.990"
"155";"(Ref: 277108)";"Aromo";"Vino Blanco Botella";"1500 cc";"$1.990"
"156";"(Ref: 445278)";"Santa Emiliana";"Vino Cabernet Sauvignon 2015 Botella";"375 ml";"$1.990"
"157";"(Ref: 262271)";"Santa Helena";"Vino Blanco Caja";"1,5 L";"$1.990"
"158";"(Ref: 311372)";"Terra Andina";"Vino Merlot / Syrah Clásico";"750 cc";"$1.990"
"159";"(Ref: 311664)";"Terra Andina";"Vino Sauvignon Blanc Terra Andina Clásico Botella";"750 cc";"$1.990"
"160";"(Ref: 551053)";"Pionero";"Vino Reserva Cabernet Sauvignon Botella";"750 cc";"$2.000"
"161";"(Ref: 597450)";"Carmen";"Vino Sauvignon Blanc Carmen Insigne Botella";"750 cc";"$2.050"
"162";"(Ref: 597449)";"Carmen";"Vino Cabernet Sauvignon 2016 Botella";"750 ml";"$2.050"
"163";"(Ref: 293431)";"Carmen";"Vino Merlot Insigne";"750 cc";"$2.050"
"164";"(Ref: 293588)";"Carmen";"Aperitif Rosé Cabernet Sauvignon Botella";"750 cc";"$2.090"
"165";"(Ref: 293441)";"Carmen";"Vino Blanco Rhin Viña Carmen Botella";"750 cc";"$2.090"
"166";"(Ref: 294811)";"Carmen";"Vino Cabernet Sauvignon Margaux";"700 cc";"$2.090"
"167";"(Ref: 279693)";"Carmen";"Vino Carmenère Clásico 2014 Botella";"700 cc";"$2.090"
"168";"(Ref: 255864)";"Concha y Toro";"Vino Cabernet Sauvignon Botella";"750 cc";"$2.090"
"169";"(Ref: 243701)";"Exportación";"Vino Merlot Botella";"750 cc";"$2.090"
"170";"(Ref: 293511)";"Carmen";"Vino Merlot";"700 cc";"$2.090"
"171";"(Ref: 256281)";"Concha y Toro";"Vino Tinto Selecto Carménère Botella";"750 cc";"$2.090"
"172";"(Ref: 242168)";"Concha y Toro";"Vino Sauvignon Blanc Exportación Selecto Botella";"750 cc";"$2.090"
"173";"(Ref: 293505)";"Carmen";"Aperitive Blanc Sauvignon Blanc Botella";"750 cc";"$2.090"
"174";"(Ref: 546372)";"Concha y Toro";"Vino Blanco Exportación Botella";"700 cc";"$2.090"
"175";"(Ref: 313841)";"León de Tarapacá";"Vino Merlot";"";"$2.190"
"176";"(Ref: 351672)";"Tarapacá";"Vino Chardonnay Tarapacá León Botella";"700 cc";"$2.190"
"177";"(Ref: 376488)";"Tarapacá";"Vino Cabernet Sauvignon León de Tarapacá";"750 cc";"$2.190"
"178";"(Ref: 320442)";"Tarapacá";"León de Tarapacá Ensamblaje Botella";"700 cc";"$2.190"
"179";"(Ref: 313887)";"Tarapacá";"Vino Sauvignon Blanc León de Tarapacá Botella";"700 cc";"$2.190"
"180";"(Ref: 320449)";"Tarapacá";"Vino Carmenere Tarapacá León Botella";"700 cc";"$2.190"
"181";"(Ref: 445265)";"Concha y Toro";"Vino Tinto Frontera Merlot Botella";"750 cc";"$2.250"
"182";"(Ref: 262666)";"Exportación";"Vino Tinto Botellón";"1500 cc";"$2.250"
"183";"(Ref: 393542)";"Concha y Toro";"Vino Sauvignon Blanc Frontera Botella";"750 cc";"$2.250"
"184";"(Ref: 413814)";"Concha y Toro";"Vino Carmenere Frontera Botella";"750 cc";"$2.250"
"185";"(Ref: 413812)";"Concha y Toro";"Vino Cabernet Sauvignon Frontera";"750 cc";"$2.250"
"186";"(Ref: 278850)";"Indomita";"Selected Varietal Cabernet Sauvignon Botella";"750 cc";"$2.290"
"187";"(Ref: 350978)";"Manquehuito";"Vino Cooler Piña";"1,5 L";"$2.290"
"188";"(Ref: 350973)";"Manquehuito";"Cooler sin Gas Frutos Rojos Caja";"1,5 L";"$2.290"
"189";"(Ref: 264545)";"Santa Helena";"Vino Tinto Caja";"1500 cc";"$2.290"
"190";"(Ref: 269029)";"Indomita";"Selected Varietal Sauvignon Blanc Botella";"750 cc";"$2.290"
"191";"(Ref: 243871)";"Indomita";"Selected Varietal Carmenère Botella";"750 cc";"$2.290"
