"codigo";"Marca";"descripcion";"cantidad";"precio"
"115";"(Ref: 543062)";"Nivea";"Crema Facial de Día Aclarado Natural Caja";"50 ml";"$3.890"
"116";"(Ref: 640455)";"Petrizzio";"Crema Hidratante";"1 un";"$3.890"
"117";"(Ref: 251099)";"Nivea";"Crema Corporal Humectante Soft Milk Botella";"250 ml";"$3.890"
"118";"(Ref: 691353)";"Neutrogena";"Toallas Desmaquillantes Noche Dúo Pack (2x25 Un)";"1 Un";"$3.990"
"119";"(Ref: 603235)";"Loreal";"Loción Tonificante Equilibrante Hidra Total 5";"200 ml";"$3.990"
"120";"(Ref: 640458)";"Skin Naturals";"Crema 3 en 1 Hidratante";"200 ml";"$3.990"
"121";"(Ref: 642594)";"Pielarmina";"Crema Body Hidratante y Reafirmante";"350 ml";"$3.990"
"122";"(Ref: 691352)";"Neutrogena";"Toallas Desmaquillantes Dúo Pack (2x25 Un)";"1 Un";"$3.990"
"123";"(Ref: 250281)";"Nivea";"Crema Corporal SOS Reparadora Intensiva Botella";"250 ml";"$4.090"
"124";"(Ref: 479806)";"Loreal";"Crema Facial Matificante Hidra-Total 5 Pote";"50 ml";"$4.150"
"125";"(Ref: 419011)";"Loreal";"Hidra-Total 5 Crema De Noche";"50 Ml";"$4.190"
"126";"(Ref: 543064)";"Nivea";"Tónico Facial Revitalizante Piel Seca Botella 200 ml";"200 ml";"$4.190"
"127";"(Ref: 691289)";"Lactovit";"Leche Corporal Hidratante/Instant";"400 ml";"$4.190"
"128";"(Ref: 420181)";"Nivea";"Crema Leche Limpiadora Suave Botella";"200 g";"$4.190"
"129";"(Ref: 434660)";"Nivea";"Gel Limpiador Facial Equilibrante Piel Mixta o Grasa Pomo";"150 ml";"$4.190"
"130";"(Ref: 592072)";"Nivea";"Leche Limpiadora Facial Creme Care Frasco";"200 ml";"$4.190"
"131";"(Ref: 420183)";"Nivea";"Tónico Facial Matizante Piel Mixta o Grasa Botella";"200 g";"$4.190"
"132";"(Ref: 627128)";"Loreal";"Huile Extra-Ordinaire Crema Reparadora Para Pieles Extra Seca";"250 ml";"$4.190"
"133";"(Ref: 653985)";"Lactovit";"Crema Lactorurea Reparadora";"400 ml";"$4.190"
"134";"(Ref: 386535)";"L'Oréal";"Crema Facial Nutritiva Hidra-Total 5 Día Pote";"50 ml";"$4.190"
"135";"(Ref: 613306)";"Nivea";"Crema Corporal Bajo la Ducha Soft Piel Normal a Seca";"250 ml";"$4.290"
"136";"(Ref: 446352)";"Loreal";"Crema Hidratante Matificante Hidra Total 5 Piel Mixta a Grasa Caja";"50 ml";"$4.290"
"137";"(Ref: 377398)";"Loreal";"Desmaquillante Hidra-Total 5 Piel Normal a Mixta Pomo";"200 g";"$4.290"
"138";"(Ref: 454702)";"St. Ives";"Crema Corporal Humectación Profunda Botella";"350 ml";"$4.290"
"139";"(Ref: 640459)";"Skin Naturals";"Crema 3 en 1 Antiarrugas";"200 ml";"$4.290"
"140";"(Ref: 515002)";"Nivea";"Crema Corporal Bajo la Ducha Cacao Botella";"250 ml";"$4.290"
"141";"(Ref: 377397)";"L'Oréal";"Loción Tonificante Hidratante Hidra Total 5 Botella";"200 g";"$4.350"
"142";"(Ref: 377396)";"Loreal";"Desmaquillante Hidra-Total 5 Piel Seca y Sensible Pomo";"200 g";"$4.350"
"143";"(Ref: 678429)";"Skin Naturals";"Gel Limpiador Carbon Pure Active";"200 ml";"$4.390"
"144";"(Ref: 625614)";"Skin Naturals";"Limpiador Integral 3 En 1 Pure Active";"150 ml";"$4.390"
"145";"(Ref: 534441)";"Nivea";"Crema Hidratante Pote";"250 g";"$4.490"
"146";"(Ref: 621339)";"Loreal";"Agua Micelar";"200 Ml";"$4.490"
"147";"(Ref: 646824)";"Nivea";"Crema Facial Antiarrugas 45+";"50 ml";"$4.490"
"148";"(Ref: 659484)";"Dermo Expertise";"Desmaquillante Bifásico Hidra-Total 5";"125 ml";"$4.490"
"149";"(Ref: 646823)";"Nivea";"Crema Facial Antiarrugas 35+";"50 ml";"$4.490"
"150";"(Ref: 627126)";"Loreal";"Leche Nutritiva Age Perfect";"250 ml";"$4.490"
"151";"(Ref: 671528)";"Neutrogena";"Agua Micelar Desmaquillante 7 en 1";"200 ml";"$4.490"
"152";"(Ref: 640465)";"Loreal";"Agua Micelar Piel mixta";"200 ml";"$4.490"
"153";"(Ref: 659481)";"Loreal";"Agua Micelada para Piel Mixta";"200 ml";"$4.490"
"154";"(Ref: 592066)";"Loreal";"Crema Facial Hidra-Total 5 Anti-Arrugas +55";"50 ml";"$4.590"
"155";"(Ref: 252108)";"St. Ives";"Crema de Limpieza Frasco";"340 g";"$4.590"
"156";"(Ref: 473938)";"Nivea";"Crema Corporal Milk Nutritiva Botella";"1000 ml";"$4.650"
"157";"(Ref: 473939)";"Nivea";"Crema Corporal Soft Milk Botella";"1 L";"$4.650"
"158";"(Ref: 242645)";"Neutrogena";"Jabón Barra de Limpieza Facial Caja";"100 g";"$4.690"
"159";"(Ref: 457519)";"Skin Naturals";"BB Cream Medium Oil Free Piel Mixta a Grasa Pomo";"60 ml";"$4.690"
