"codigo";"Marca";"descripcion";"cantidad";"precio"
"242";"(Ref: 259321)";"San Francisco";"Postre Helado Pistacho Caja";"1 L";"$3.690"
"243";"(Ref: 259520)";"San Francisco";"Postre Helado Papayas a la Crema Caja";"1 L";"$3.690"
"244";"(Ref: 259311)";"San Francisco";"Postre Helado Mangos a la Crema Caja";"1 L";"$3.690"
"245";"(Ref: 259470)";"San Francisco";"Postre Helado Frambuesas a la Crema Caja";"1 L";"$3.690"
"246";"(Ref: 259437)";"San Francisco";"Postre Helado Tres Leches Caja";"1 L";"$3.690"
"247";"(Ref: 259065)";"San Francisco";"Postre Helado Pie de Limón Caja";"1 L";"$3.690"
"248";"(Ref: 259052)";"San Francisco";"Helado Selva Negra";"1 L";"$3.690"
"249";"(Ref: 681634)";"Savory";"Helado Mega Manjar Galleta Paleta";"1 Un";"$3.790"
"250";"(Ref: 629679)";"Savory";"Helado Mini Prestigio";"5 Un";"$3.890"
"251";"(Ref: 598521)";"Savory";"Helado Cono Mini Sahne-Nuss 5 Un de 80 ml c/u) Caja";"400 ml";"$3.890"
"252";"(Ref: 598519)";"Savory";"Helado Paleta Mini Sahne-Nuss 5 Un de 60 ml c/u) Caja";"300 ml";"$3.890"
"253";"(Ref: 598520)";"Savory";"Helado Cono Mini Danky Nogatonga 5 Un de 60 ml c/u) Caja";"300 ml";"$3.890"
"254";"(Ref: 403863)";"Savory";"Charlot Almendrado Premium Sabor Chocolate y Vainilla Caja";"1 L";"$3.890"
"255";"(Ref: 694460)";"Guallarauco";"Barra de Frutas Frambuesa (12 Un)";"528 gr";"$3.990"
"256";"(Ref: 337435)";"Chamonix";"Helado de Crema sabor Chocolate, Tres Leches y Manjar Pote";"2,5 L";"$3.990"
"257";"(Ref: 337431)";"Chamonix";"Helado de Crema Trisabor Pote";"2,5 L";"$3.990"
"258";"(Ref: 591873)";"Guallarauco";"Postre Papaya Crema";"1 L";"$3.990"
"259";"(Ref: 639153)";"Felipe Didier";"Mini Chilenitos";"12 Un";"$3.990"
"260";"(Ref: 602519)";"La Cremeria";"Helado Prestigio 6X";"1 L";"$3.990"
"261";"(Ref: 694459)";"Guallarauco";"Barra Lucuma Manjar (12 Un)";"528 gr";"$3.990"
"262";"(Ref: 618665)";"Klondike";"Helado Neapolitan";"798 ml";"$3.990"
"263";"(Ref: 639151)";"Felipe Didier";"Mini Brazo de reina";"4 Un";"$3.990"
"264";"(Ref: 618663)";"Klondike";"Helado Krunch Bar";"798 ml";"$3.990"
"265";"(Ref: 629674)";"La Cremeria";"Helado Chocolate Frambuesa";"1 L";"$3.990"
"266";"(Ref: 618664)";"Klondike";"Helado Double Chocolate";"798 ml";"$3.990"
