"codigo";"Marca";"descripcion";"cantidad";"precio"
"128";"(Ref: 315859)";"Master Rice";"Galletas Crackers Arroz Sweet Chili Bolsa";"100 g";"$1.190"
"129";"(Ref: 504378)";"Mi Tierra";"Maravillas Peladas Doypack";"150 g";"$1.191"
"130";"(Ref: 504377)";"Mi Tierra";"Semilla de Maravilla Tostada";"150 g";"$1.191"
"131";"(Ref: 277385)";"Flopi";"Caramelo sin Azúcar y sin Gluten Sabor Tuti Fruti Pote";"40 g";"$1.290"
"132";"(Ref: 277395)";"Flopi";"Caramelo sin Azúcar y sin Gluten Sabor Cereza Pote";"40 g";"$1.290"
"133";"(Ref: 538075)";"Kupiec";"Galleta de Arroz Multigranos Bolsa";"90 g";"$1.290"
"134";"(Ref: 253247)";"Ecovida";"Galleta Rellena Manzana Bolsa";"150 g";"$1.370"
"135";"(Ref: 253232)";"Ecovida";"Galleta Emparedado de Higo Bolsa";"150 g";"$1.370"
"136";"(Ref: 253349)";"Ecovida";"Gallera Rellena Ciruela Bolsa";"150 g";"$1.370"
"137";"(Ref: 474920)";"Be Cookies";"Galletas de avena almendra coco sin azúcar";"144 g";"$1.390"
"138";"(Ref: 545315)";"Be Cookies";"Galletas de Avena Maní Bolsa";"144 g";"$1.390"
"139";"(Ref: 458899)";"Ecomil";"Crema Vegetal Orgánica de Almendra 200 ml";"200 ml";"$1.400"
"140";"(Ref: 526018)";"Gallo";"Bizcocho de Arroz Dulces Bolsa";"100 g";"$1.460"
"141";"(Ref: 657389)";"Terrium";"Galleta 0% Azúcar Yogurt";"90 g";"$1.490"
"142";"(Ref: 657392)";"Terrium";"Galleta 0% Azúcar Quinoa y Canela";"90 g";"$1.490"
"143";"(Ref: 657388)";"Terrium";"Galleta 0% Azúcar Naranja Jengibre";"90 g";"$1.490"
"144";"(Ref: 650811)";"Gallo Snacks";"Chocobar";"60 g";"$1.590"
"145";"(Ref: 638257)";"Sana Locura";"Galletas de Arroz Integral con Chocolate Belga de Leche";"64 g";"$1.590"
"146";"(Ref: 401075)";"Mi Tierra";"Salvena con Chia Bolsa";"400 g";"$1.600"
"147";"(Ref: 253174)";"Fuente Natural";"Semilla de Girasol Bolsa";"125 g";"$1.650"
"148";"(Ref: 588494)";"Watt's";"Mermelada sin Azúcar Sabor Mora Doypack";"350 g";"$1.690"
