"codigo";"Marca";"descripcion";"cantidad";"precio"
"124";"(Ref: 453978)";"Winter";"Jamón Colonial";"250 g";"$1.890"
"125";"(Ref: 376530)";"Llanquihue";"Longanicilla Parrillera";"200 g";"$1.890"
"126";"(Ref: 680989)";"San Jorge";"Chorizo Sureño";"500 g";"$1.990"
"127";"(Ref: 252637)";"PF";"Chorizo Parrillero Display";"10 Un (500 g c/u)";"$1.990"
"128";"(Ref: 480328)";"San Jorge";"Salame Ahumado Granel";"250 g";"$1.990"
"129";"(Ref: 453353)";"La Crianza";"Longanicillas de Campo Light 14 Un) Al Vacio";"280 g";"$1.990"
"130";"(Ref: 250094)";"Receta del Abuelo";"Chorizo Español";"120 g";"$1.990"
"131";"(Ref: 538119)";"Llanquihue";"Mini Bratwurst Bolsa";"250 g";"$2.090"
"132";"(Ref: 631726)";"La Preferida";"Jamon Pierna Artesanal";"250 gr";"$2.190"
"133";"(Ref: 428560)";"Llanquihue";"Salame Pimienta Al Vacio";"200 g";"$2.190"
"134";"(Ref: 684288)";"Receta del Abuelo";"Jamón Serrano";"100 g";"$2.190"
"135";"(Ref: 479498)";"Sopraval";"Pechuga de Pavo Acaramelada";"250 g";"$2.190"
"136";"(Ref: 523238)";"Vegetalex";"Sucedáneo De Salchicha De Proteína De Soya Bolsa (5 Un)";"170 g";"$2.290"
"137";"(Ref: 247420)";"San Jorge";"Salame Italiano";"250 g";"$2.290"
"138";"(Ref: 429747)";"Alejandro";"Chistorra Natural Display";"250 g";"$2.290"
"139";"(Ref: 318805)";"La Preferida";"Jamón Pierna";"250 g";"$2.290"
"140";"(Ref: 312704)";"Llanquihue";"Longaniza";"250 g";"$2.390"
"141";"(Ref: 453228)";"Llanquihue";"Salame Laminas Display";"200 g";"$2.390"
"142";"(Ref: 443354)";"Llanquihue";"Jamon Tipo Serrano";"125 g";"$2.490"
"143";"(Ref: 443356)";"Llanquihue";"Lomo Lachs Bolsa";"125 g";"$2.490"
"144";"(Ref: 627788)";"La Preferida";"Arrollado Huaso Laminado";"250 g";"$2.490"
"145";"(Ref: 446089)";"Trujillo";"Paleta Serrana";"80 g";"$2.490"
"146";"(Ref: 443359)";"Llanquihue";"Lomo Vetado Ahumado Bolsa";"125 g";"$2.490"
"147";"(Ref: 429746)";"Alejandro";"Longaniza Parrillera Bolsa";"250 g";"$2.490"
"148";"(Ref: 312844)";"Llanquihue";"Jamón Artesanal Acaramelado de Cerdo Grado 1 Bolsa";"250 g";"$2.550"
"149";"(Ref: 627789)";"Receta del Abuelo";"Panceta Ahumada";"150 gr";"$2.590"
"150";"(Ref: 589552)";"La Crianza";"Salame Italiano Bolsa";"141 g";"$2.590"
"151";"(Ref: 250063)";"PF";"Salame Ahumado";"250 g";"$2.672,5"
"152";"(Ref: 250075)";"PF";"Salame Italiano";"250 g";"$2.672,5"
"153";"(Ref: 589551)";"La Crianza";"Salame Ahumado Bolsa";"141 g";"$2.690"
"154";"(Ref: 241080)";"La Preferida";"Prietas Display";"400 g";"$2.690"
"155";"(Ref: 606485)";"Receta del Abuelo";"Longanicilla De Campo";"400 g";"$2.790"
"156";"(Ref: 556282)";"Receta del Abuelo";"Longanicilla Sureña Bolsa";"400 g";"$2.790"
"157";"(Ref: 618185)";"Receta del Abuelo";"Chorizo De Pavo";"500 g";"$2.790"
"158";"(Ref: 454828)";"Trujillo";"Tabla Serrana";"125 g";"$2.890"
"159";"(Ref: 491196)";"Toledo";"Chorizo Criollo";"400 g";"$2.990"
"160";"(Ref: 253822)";"San Jorge";"Longaniza Receta Tradicional Display";"1 Kg";"$2.990"
"161";"(Ref: 544072)";"Trujillo";"Jamón Serrano";"80 g";"$2.990"
"162";"(Ref: 640474)";"Toledo";"Surtido Parrillero";"400 g";"$2.990"
"163";"(Ref: 491197)";"Toledo";"Chorizo Riojano Al Vacio";"400 g";"$3.090"
"164";"(Ref: 259018)";"De León";"Arrollado Huaso Prensado";"250 G";"$3.090"
"165";"(Ref: 240792)";"La Preferida";"Choricillo Cóctel Display";"250 g";"$3.190"
"166";"(Ref: 542605)";"Receta del Abuelo";"Surtido Parrillero";"500 g";"$3.290"
"167";"(Ref: 491212)";"Trujillo";"Fuet Al Vacio";"240 g";"$3.290"
"168";"(Ref: 530967)";"Receta del Abuelo";"Chorizo Parrillero Display";"500 g";"$3.290"
"169";"(Ref: 659846)";"La Preferida";"Chorizo De Campo";"500 g";"$3.490"
"170";"(Ref: 491210)";"Trujillo";"Chorizo Sarta Picante Etiqueta Roja Display";"240 g";"$3.490"
"171";"(Ref: 562104)";"La Preferida";"Chorizo Parrillero con Carne de Angus al Merkén Bolsa";"500 g";"$3.490"
"172";"(Ref: 491211)";"Trujillo";"Chorizo Sata Display";"240 g";"$3.490"
"173";"(Ref: 556281)";"PF";"Chorizo Parrillero Sureño Bolsa";"1 Kg";"$3.490"
"174";"(Ref: 249008)";"Sopraval";"Pechuga de Pavo Ahumada Bolsa";"300 g";"$3.790"
"175";"(Ref: 675457)";"Llanquihue";"Cervecita";"500 g";"$3.890"
"176";"(Ref: 525936)";"Cassini";"Prosciutto Crudo Italiando Bolsa";"90 g";"$3.890"
"177";"(Ref: 525935)";"Cassini";"Prosciutto Italiano Superior";"90 g";"$3.890"
"178";"(Ref: 515891)";"PF";"Pechuga Pollo Cocida";"1.0 Kg";"$3.960"
"179";"(Ref: 582076)";"PF";"Pechuga de Pollo Asada";"1.0 Kg";"$3.960"
"180";"(Ref: 497711)";"Receta del Abuelo";"Mix Parrillero Premium Al Vacio";"600 g";"$4.290"
"181";"(Ref: 263780)";"Llanquihue";"Chorizo Parrillero Paquete";"500 g";"$4.490"
"182";"(Ref: 491225)";"Toledo";"Jamón Curado Al Vacio";"180 g";"$4.690"
"183";"(Ref: 286468)";"Los Astures";"Jamón Serrano Loncha";"200 g";"$5.990"
"184";"(Ref: 685358)";"Selección";"Mini Jamón Serrano";"1 Kg";"$19.990"
"185";"(Ref: 394891)";"Trujillo";"Paleta Jamon Serrano";"1 Un";"$43.990"
"186";"(Ref: 263791)";"Nido";"Leche Semidescremada en Polvo Etapas 1+ Bolsa";"800 g";"$4.890"
"187";"(Ref: 263860)";"Nido";"Buen día Leche Semidescremada en Polvo Bolsa";"900 g";"$4.480"
"188";"(Ref: 263543)";"Lider";"Leche Descremada Natural Caja";"1 L";"$720"
"189";"(Ref: 263552)";"Colun";"Leche Descremada Natural Caja";"1 L";"$840"
"190";"(Ref: 270881)";"Colun";"Leche Semidescremada Natural Caja";"1 L";"$840"
"191";"(Ref: 270904)";"Lider";"Leche Semidescremada Natural Caja";"1 L";"$720"
"192";"(Ref: 263800)";"Nido";"Leche Semidescremada en Polvo Etapas 3+ Bolsa";"800 g";"$4.690"
"193";"(Ref: 263559)";"Colun";"Leche Entera Natural Caja";"1 L";"$840"
