"codigo";"Marca";"descripcion";"cantidad";"precio"
"89";"(Ref: 480816)";"Punta Picana";"Al Vacío Torobayo Nacional";"1,8 Kg";"$17.980"
"90";"(Ref: 693952)";"Corral Osorno";"V Entraña";"1.2 Kg";"$17.988"
"91";"(Ref: 480814)";"Punta Ganso";"Al Vacío Torobayo Nacional";"2,0 Kg";"$19.980"
"92";"(Ref: 434041)";"Super Cerdo";"Pulpa Pierna de Cerdo sin Hueso Display";"900 g";"$3.290"
"93";"(Ref: 434047)";"Super Cerdo";"Lomo Centro de Cerdo Display";"800 g";"$5.990"
"94";"(Ref: 629977)";"Super Cerdo";"Chuleta Centro";"550 g";"$4.190"
"95";"(Ref: 377105)";"Cerdo Supremo";"Chuleta de Centro Congelada Bolsa";"900 g";"$3.690"
"96";"(Ref: 315175)";"Super Cerdo";"Costillas de Cerdo Baby Back Ribs Display";"1 Kg";"$7.990"
"97";"(Ref: 449414)";"Super Cerdo";"Plateada de Cerdo a la Chilena Al Vacio";"1 Kg";"$5.990"
"98";"(Ref: 629983)";"Super Cerdo";"Chuletitas";"600 g";"$4.290"
"99";"(Ref: 552842)";"Super Cerdo";"Plateada de Lomo de Cerdo";"1 Kg";"$2.990"
"100";"(Ref: 631901)";"Super Cerdo";"Medallon Lomo Centro 750 gr";"750 g";"$4.490"
"101";"(Ref: 512474)";"Super Cerdo";"Malaya Al Vacio";"900 g";"$8.190"
"102";"(Ref: 644084)";"Super Cerdo";"Lomo Centro Medallon 800 gr";"800 g";"$5.990"
"103";"(Ref: 643621)";"Super Cerdo";"Costillar Medio Al Vacio 2,3 Kg";"2,3 Kg";"$14.697"
"104";"(Ref: 309262)";"Super Cerdo";"Filete de Cerdo";"900 g";"$5.990"
"105";"(Ref: 625041)";"EE.UU";"Baby Back Ribs";"1,3 Kg";"$7.787"
"106";"(Ref: 631899)";"Super Cerdo";"Chuleta Centro Porcionado";"750 g";"$4.490"
"107";"(Ref: 521401)";"EE.UU";"Costillar De Cerdo Americano Congelado";"2,7 Kg";"$9.423"
"108";"(Ref: 522808)";"Super Cerdo";"Pulpa de Cerdo Chilena";"900 g";"$4.990"
"109";"(Ref: 387507)";"Cerdo Supremo";"Chuleta Vetada Congelada Bolsa";"900 g";"$3.690"
"110";"(Ref: 309764)";"Super Cerdo";"Entraña de Cerdo Bolsa";"800 g";"$5.590"
"111";"(Ref: 450047)";"Super Cerdo";"Costillar a la Chilena";"2,7 Kg";"$17.253"
"112";"(Ref: 611763)";"Super Cerdo";"Lomo Vetado Envasado";"2.1 Kg";"$10.479"
"113";"(Ref: 473867)";"Super Cerdo";"Costillitas Ribs Barbecue";"700 g";"$4.990"
"114";"(Ref: 655910)";"Super Cerdo";"Abastero Cerdo";"1 Kg";"$4.890"
"115";"(Ref: 655912)";"Super Cerdo";"Cubitos Ganso De Cerdo";"250 g";"$1.390"
"116";"(Ref: 623132)";"EE.UU";"Lomo Centro Americano Congelado";"2,7 Kg";"$10.773"
"117";"(Ref: 309297)";"Super Cerdo";"Asiento Extra Margo";"900 g";"$4.990"
"118";"(Ref: 581434)";"Super Cerdo";"Costillitas a la Chilena";"700 g";"$4.690"
"119";"(Ref: 630125)";"Super Cerdo";"Carne Molida";"250 g";"$1.290"
"120";"(Ref: 496652)";"Super Cerdo";"Carne Molida";"450 g";"$1.790"
"121";"(Ref: 680989)";"San Jorge";"Chorizo Sureño";"500 g";"$1.990"
"122";"(Ref: 655908)";"Super Cerdo";"Asado Carnicero Cerdo";"1 Kg";"$1.990"
"123";"(Ref: 629980)";"Super Cerdo";"Chuleta Vetada De Cerdo";"500 g";"$3.390"
"124";"(Ref: 627717)";"Cerdo Supremo";"Chuleta Centro Al Vacío";"500 g";"$3.390"
"125";"(Ref: 286185)";"Super Cerdo";"Lomo Vetado de Cerdo Bolsa";"600 g";"$3.490"
"126";"(Ref: 690140)";"Brasil Seara";"Costillar Baby Backs";"680 gr";"$3.790"
"127";"(Ref: 309286)";"Super Cerdo";"Posta Negra";"900 g";"$3.890"
"128";"(Ref: 309275)";"Super Cerdo";"Posta Rosada";"900 g";"$3.890"
"129";"(Ref: 690704)";"Brasil Seara";"Punta De Ganso Sazonada";"800 gr";"$4.190"
"130";"(Ref: 690702)";"Brasil Seara";"Lomo Cerdo Sazonado";"800 gr";"$4.190"
"131";"(Ref: 690703)";"Brasil Seara";"Pulpa Pierna Sazonada";"800 gr";"$4.190"
"132";"(Ref: 690141)";"Brasil Seara";"Costillar Spareribs";"1600 gr";"$5.890"
"133";"(Ref: 599220)";"Super Cerdo";"Plateada Sureña Sabor Ahumado";"1 Kg";"$5.990"
"134";"(Ref: 685987)";"Brasil Seara";"Malaya Cerdo";"900 g";"$5.990"
"135";"(Ref: 394696)";"Cerdo Supremo";"Baby Ribs Bolsa";"800 g";"$7.490"
"136";"(Ref: 629498)";"EE.UU";"Costillar St Louis BBQ";"1,7 Kg";"$8.483"
"137";"(Ref: 449972)";"Super Cerdo";"Costillar Cerdo BBQ";"2,7 Kg";"$17.253"
"138";"(Ref: 599535)";"Super Pollo";"Filetitos de Pechuga de Pollo Bolsa";"700 g";"$3.890"
