"codigo";"Marca";"descripcion";"cantidad";"precio"
"96";"(Ref: 283258)";"Diente de Dragón";"Diente de Dragón";"250 g";"$750"
"97";"(Ref: 280721)";"Lechuga";"Lechuga Marina";"1 Un";"$750"
"98";"(Ref: 543400)";"Lechuga";"Lechuga Española";"1 Un";"$750"
"99";"(Ref: 458713)";"Alfalfa Brotes";"Alfalfa Brotes Bandeja";"150 g";"$790"
"100";"(Ref: 458736)";"Laurel";"Laurel Bandeja";"30 g";"$790"
"101";"(Ref: 458731)";"Hierbas";"Hierbas Buena Pote Bandeja";"1 Un";"$790"
"102";"(Ref: 281528)";"Zanahoria";"Zanahoria Para Jugo Bolsa";"1 Un";"$790"
"103";"(Ref: 458727)";"Arvejas Brotes";"Arvejas Brotes Bandeja";"150 g";"$850"
"104";"(Ref: 458728)";"Soya Brotes";"Soya Brotes Bandeja";"1 Un";"$850"
"105";"(Ref: 458706)";"Tomillo";"Tomillo Bandeja";"1 Un";"$850"
"106";"(Ref: 458709)";"Orégano";"Orégano Bandeja";"30 g";"$890"
"107";"(Ref: 458729)";"Pac Choi";"Pac Choi Mar";"1 Un";"$890"
"108";"(Ref: 458716)";"Romero";"Romero Linea Gourmet Caja";"1 Un";"$890"
"109";"(Ref: 669423)";"Lider";"Salsa Verde Cebolla y Cilantro Pote";"200 g";"$990"
"110";"(Ref: 686743)";"Radicchio";"Radicchio";"250 gr";"$990"
"111";"(Ref: 280935)";"Papas";"Papa Topinambur";"250 g";"$990"
"112";"(Ref: 282972)";"Coliflor";"Coliflor Film Unidad";"1 Un";"$990"
"113";"(Ref: 622711)";"Brócoli";"Brócoli Florete";"300 g";"$990"
"114";"(Ref: 472001)";"Lechuga";"Lechuga Bionda Hidropónica Unidad";"1 Un";"$1.090"
"115";"(Ref: 458719)";"Maíz Mote";"Maíz Mote Bolsa";"500 g";"$1.090"
"116";"(Ref: 477699)";"Lechuga";"Lechuga Trio Hidropónica";"1 Un";"$1.090"
"117";"(Ref: 453680)";"Lechuga";"Lechuga Lollo Rosa Hidropónica";"1 Un";"$1.090"
"118";"(Ref: 669405)";"Lider";"Ensalada Repollo Blanco";"300 g";"$1.150"
"119";"(Ref: 669402)";"Lider";"Ensalada Repollo Morado";"300 g";"$1.150"
"120";"(Ref: 669408)";"Lider";"Ensalada Siciliana";"300 g";"$1.150"
"121";"(Ref: 669396)";"Lider";"Ensalada Napolitana";"300 g";"$1.150"
"122";"(Ref: 638854)";"Rabanitos";"Rabanitos Pote";"300 g";"$1.190"
"123";"(Ref: 669393)";"Lider";"Ensalada Zanahoria Julia";"300 g";"$1.190"
"124";"(Ref: 669384)";"Lider";"Ensalada Lechuga Escarola";"300 g";"$1.190"
