"codigo";"Marca";"descripcion";"cantidad";"precio"
"88";"(Ref: 244913)";"Popeye";"Jabón de Lavar Líquido Hipoalergénico Doypack";"1 L";"$3.150"
"89";"(Ref: 318884)";"Ace";"Detergente en Polvo Naturals";"3 Kg";"$7.150"
"90";"(Ref: 671620)";"Vanish";"Quitamanchas Líquido Max";"900 ml";"$1.890"
"91";"(Ref: 264747)";"Popeye";"Detergente en Crema Lavado Ropa de Bebé Bolsa";"170 g";"$750"
"92";"(Ref: 606706)";"Rinso";"Detergente en Polvo Lirios y Rosas Caja";"1 Kg";"$2.490"
"93";"(Ref: 263311)";"Clorox";"Cloro Ropa Colores Vivos Botella";"960 g";"$2.090"
"94";"(Ref: 320846)";"Omo";"Detergente Matic en Polvo Multiacción Caja";"1 Kg";"$2.990"
"95";"(Ref: 606708)";"Ariel";"Detergente Pods 31 Cápsulas";"750 g";"$13.290"
"96";"(Ref: 556707)";"Omo";"Quitamanchas Ropa Blanca Pote";"420 g";"$3.850"
"97";"(Ref: 390746)";"Vanish";"Removedor de Manchas para Ropa Blanca Doy Pack";"600 ml";"$1.750"
"98";"(Ref: 534511)";"Vanish";"Jabón Súper Barra Quitamanchas Prelavado";"75 g";"$950"
"99";"(Ref: 271103)";"Fuzol";"Suavizante Primavera Botella";"2 L";"$1.890"
"100";"(Ref: 265537)";"Fuzol";"Suavizante Clásico Doypack";"1 L";"$1.050"
"101";"(Ref: 264810)";"Soft";"Suavizante para la Ropa Soft Diluido Aloe Vera";"1 L";"$1.890"
"102";"(Ref: 671571)";"Omo";"Botella Omo Quita Manchas Liquido Ropa Color";"750 ml";"$2.190"
"103";"(Ref: 674992)";"Ariel";"Detergente Líquido Concentrado Ultra 45 Lavados Ropa Blanca y de Color";"1.8 L";"$11.690"
"104";"(Ref: 254704)";"Lider";"Cloro Ropa Blanca Botella";"2 L";"$1.350"
"105";"(Ref: 267056)";"Drive";"Detergente Líquido Concentrado Intelligent";"1 L";"$10.950"
"106";"(Ref: 671570)";"Omo";"Botella Omo Quita Manchas Liquido Ropa Blanca";"750 ml";"$2.190"
"107";"(Ref: 503177)";"Vanish";"Quitamanchas Líquido Poder O2 Doypack";"400 ml";"$2.050"
"108";"(Ref: 613946)";"Soft";"Suavizante para la Ropa Soft Concentrado Energy";"500 ml";"$1.950"
"109";"(Ref: 614637)";"KH-7";"Quitamanchas Doypack";"500 ml";"$1.690"
"110";"(Ref: 671621)";"Vanish";"Quitamanchas Líquido Blanco Total";"1800 ml";"$3.190"
"111";"(Ref: 671619)";"Vanish";"Quitamanchas Líquido Blanco Total";"900 ml";"$1.890"
"112";"(Ref: 320847)";"Omo";"Detergente en Polvo Multiacción Corriente Caja";"1 Kg";"$2.990"
"113";"(Ref: 671623)";"Vanish";"Quitamanchas Líquido Blanco Total";"3785 ml";"$6.490"
"114";"(Ref: 503180)";"Vanish";"Quitamanchas Prelavado en Gel Frasco";"200 g";"$4.390"
"115";"(Ref: 471873)";"Vanish";"Prelavado para Ropa Botella";"650 ml";"$3.890"
"116";"(Ref: 306680)";"Fuzol";"Suavizante Primavera Doypack";"1 L";"$1.050"
"117";"(Ref: 264800)";"Fuzol";"Suavizante Color Plus Doypack";"1 L";"$1.090"
"118";"(Ref: 260559)";"Klaren";"Blanqueador ultra blanco Klaren Caja";"250 g";"$2.190"
"119";"(Ref: 644589)";"Great Value";"Hojas Suavizante de Telas";"40 Un";"$1.990"
"120";"(Ref: 613944)";"Soft";"Suavizante para la Ropa Soft Concentrado Clasico";"500 ml";"$1.950"
"121";"(Ref: 474707)";"Babylee";"Suavizante Hipoalergénico Vainilla Doypack";"1 L";"$1.190"
"122";"(Ref: 488059)";"Lider";"Desmanchador Ropa Color";"960 g";"$1.750"
"123";"(Ref: 318797)";"Virutex";"Pinzas de Madera para Ropa 24 Unidades) Display";"1 Un";"$1.280"
"124";"(Ref: 606721)";"Lider";"Detergente Hipoalergénico Piel Sensible";"1 L";"$3.150"
"125";"(Ref: 260544)";"Poett";"Perfumante de Telas Fraganza Sedosa Primavera Frasco";"250 ml";"$2.050"
"126";"(Ref: 632540)";"Great Value";"Detergente Aroma";"2950 ml";"$8.990"
"127";"(Ref: 331399)";"Drive";"Detergente Polvo Matic Intelligent";"1 Kg";"$4.890"
"128";"(Ref: 595527)";"Ariel";"Detergente en Polvo Bolsa";"1 Kg";"$4.550"
"129";"(Ref: 260569)";"Klaren";"Ablandador Doypack";"250 g";"$490"
"130";"(Ref: 254694)";"Lider";"Cloro Ropa Blanca Botella";"1 L";"$790"
"131";"(Ref: 269530)";"Acuenta";"Suavizante de Ropa Botella";"2 L";"$950"
"132";"(Ref: 702331)";"Ariel";"Detergente Líquido Concentrado Revitacolor";"400 ml";"$1.000"
"133";"(Ref: 443403)";"Clorox";"Cloro Ropa Blancos Intensos Botella";"960 g";"$1.090"
"134";"(Ref: 263837)";"Lider";"Plancha Fácil Botella";"1 L";"$1.150"
"135";"(Ref: 251529)";"Lider";"Cloro Ropa Blanca Cuidado Total Botella";"960 g";"$1.250"
"136";"(Ref: 640413)";"Lider";"Prelavado Recarga dp";"1 L";"$1.350"
"137";"(Ref: 264759)";"Acuenta";"Líquido Pre-Lavado Ropa Botella";"2 L";"$1.370"
"138";"(Ref: 263825)";"Lider";"Plancha Fácil Botella";"1 L";"$1.390"
"139";"(Ref: 656671)";"Fuzol";"Suavizante";"1500 ml";"$1.590"
"140";"(Ref: 250282)";"Lider";"Prelavado con Gatillo Bolsa";"1 L";"$1.650"
"141";"(Ref: 613947)";"Soft";"Suavizante para la Ropa Soft Concentrado Piel sensible";"500 ml";"$1.950"
"142";"(Ref: 461037)";"Downy";"Suavizante Concentrado Citrus Botella";"3 L";"$1.990"
"143";"(Ref: 503178)";"Vanish";"Quitamanchas Líquido Doypack";"400 ml";"$2.050"
"144";"(Ref: 640289)";"Poett";"Perfumante de Telas Fraganza Love Evolution";"250 ml";"$2.050"
"145";"(Ref: 502520)";"Soft";"Suavizante para la Ropa Soft Concentrado Recarga";"450 ml";"$2.150"
"146";"(Ref: 264795)";"Lider";"Desmanchador Ropa Color";"1,8 L";"$2.290"
"147";"(Ref: 269136)";"Acuenta";"Bálsamo Suavizante de Ropa Bidón";"5 L";"$2.350"
"148";"(Ref: 561254)";"Rinso";"Detergente Líquido Matic Verde";"1 L";"$2.450"
"149";"(Ref: 260266)";"Clorox";"Lápiz de Cloro";"";"$2.790"
"150";"(Ref: 259624)";"Poett";"Perfumante de Telas Fraganza Sedoza Primavera Frasco";"450 ml";"$2.850"
"151";"(Ref: 627353)";"Vanish";"Quitamanchas polvo rosa doypack";"450 g";"$3.050"
