"codigo";"Marca";"descripcion";"cantidad";"precio"
"83";"(Ref: 642092)";"Maped";"Set Geometría 4 Piezas 20 cm";"1 Un";"$790"
"84";"(Ref: 253339)";"Marzú";"Figuras Geométricas 3D";"1 Un";"$790"
"85";"(Ref: 257939)";"Artel";"Témpera 6 Colores Extra Finos";"1 Un";"$790"
"86";"(Ref: 424140)";"Artel";"Pegamento en Barra 36g";"1 Un";"$790"
"87";"(Ref: 334840)";"Isofit";"Clips Metálicos 33 mm (100 Un)";"1 Un";"$790"
"88";"(Ref: 255037)";"Marzú";"Ovillo Pitilla 40 Grs.";"1 Un";"$790"
"89";"(Ref: 253920)";"Marzú";"Pelota de Plumavit 10 cm";"1 Un";"$790"
"90";"(Ref: 334844)";"Isofit";"Apretadores 25 mm (8 Un)";"1 Un";"$790"
"91";"(Ref: 334837)";"Isofit";"Push Pins 11 mm 40 Un";"1 Un";"$790"
"92";"(Ref: 562950)";"Artel";"Pack Pincel N° 5 - 10";"1 Un";"$790"
"93";"(Ref: 254557)";"Marzú";"Set Lentejuela Colores (9 Un)";"1 Un";"$790"
"94";"(Ref: 421883)";"Bic";"Destacador XL Naranja";"1 Un";"$890"
"95";"(Ref: 262222)";"Proarte";"Cola Fría Lavable";"1 Un";"$890"
"96";"(Ref: 429028)";"Pritt";"Sticfix en Barra 20 g";"1 Un";"$890"
"97";"(Ref: 347211)";"Proarte";"Block Diseños 18 Hojas";"1 Un";"$890"
"98";"(Ref: 253907)";"Marzú";"Pelota de Plumavit 12,5 cm";"1 Un";"$890"
"99";"(Ref: 421881)";"Bic";"Destacador XL Rosa";"1 Un";"$890"
"100";"(Ref: 421880)";"Bic";"Destacador XL Amarillo";"1 Un";"$890"
"101";"(Ref: 611201)";"Artel";"Cartulina Metálica Color Oro";"1 Un";"$890"
"102";"(Ref: 259000)";"Bic";"Lápiz Gráfito HB-2 (4 Un)";"1 Un";"$890"
"103";"(Ref: 594695)";"Artel";"Cartón Gris 55X77 cm";"1 Un";"$890"
"104";"(Ref: 413203)";"Tratto";"Destacador Fluo Highlighter Amarillo y Verde (2 Destacadores) Display";"1 Un";"$990"
